,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,HOUR_OF_DAY,BOROUGH_FORCE_RATE,NEIGHBORHOOD_FORCE_RATE,SUSPECT_RACE_DESCRIPTION_ASIAN / PACIFIC ISLANDER,SUSPECT_RACE_DESCRIPTION_BLACK,SUSPECT_RACE_DESCRIPTION_BLACK HISPANIC,SUSPECT_RACE_DESCRIPTION_MIDDLE EASTERN/SOUTHWEST ASIAN,SUSPECT_RACE_DESCRIPTION_WHITE,SUSPECT_RACE_DESCRIPTION_WHITE HISPANIC,SUSPECT_SEX_MALE,STOP_WAS_INITIATED_Based on Radio Run,STOP_WAS_INITIATED_Based on Self Initiated,OFFICER_EXPERIENCE_senior,AGE_GROUP_teen,AGE_GROUP_young_adult,AGE_GROUP_adult,AGE_GROUP_senior,OFFICER_IN_UNIFORM_FLAG,IS_NIGHT,IS_WEEKEND,IS_CHILD,SUSPECTED_CRIME_DESCRIPTION_ENCODED,STOP_LOCATION_BORO_NAME_ENCODED,NEIGHBORHOOD_ENCODED,Cluster
0,40,188,1,0.1811695835111897,0.1925287356321839,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,0,False,0,0.1898635477582846,0.1811695835111897,0.1925287356321839,1
1,19,180,10,0.2904309545875811,0.26704545454545453,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,0,False,0,0.33125,0.2904309545875811,0.26704545454545453,0
2,28,183,20,0.24034607799478339,0.25770308123249297,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,0,False,0,0.3405735976381274,0.24034607799478339,0.25770308123249297,1
3,19,188,19,0.3320644691018061,0.2736318407960199,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,0,False,0,0.375,0.3320644691018061,0.2736318407960199,0
4,32,155,21,0.1811695835111897,0.1925287356321839,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,0,False,0,0.3405735976381274,0.1811695835111897,0.1925287356321839,1
5,32,180,16,0.24034607799478339,0.2987551867219917,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,0,False,0,0.33037744429286037,0.24034607799478339,0.2987551867219917,2
6,45,155,20,0.1811695835111897,0.1925287356321839,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,0,True,0,0.1898635477582846,0.1811695835111897,0.1925287356321839,1
7,27,175,19,0.1811695835111897,0.2288135593220339,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,0,True,0,0.1898635477582846,0.1811695835111897,0.2288135593220339,3
8,57,160,22,0.24034607799478339,0.2987551867219917,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,0,True,0,0.26083163710380924,0.24034607799478339,0.2987551867219917,2
9,45,180,19,0.2904309545875811,0.30158730158730157,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,0,True,0,0.1898635477582846,0.2904309545875811,0.30158730158730157,2
10,17,155,22,0.2904309545875811,0.2597402597402597,False,False,False,False,False,True,True,True,False,True,True,False,False,False,True,0,False,1,0.1898635477582846,0.2904309545875811,0.2597402597402597,0
11,42,183,16,0.3320644691018061,0.4590818363273453,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,0,False,0,0.27708095781071834,0.3320644691018061,0.4590818363273453,2
12,43,175,14,0.1811695835111897,0.20642201834862386,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,0,True,0,0.26083163710380924,0.1811695835111897,0.20642201834862386,1
13,65,196,4,0.3320644691018061,0.4012539184952978,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,0,False,0,0.31875,0.3320644691018061,0.4012539184952978,2
14,30,163,23,0.3320644691018061,0.296655879180151,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,0,True,0,0.26773566569484936,0.3320644691018061,0.296655879180151,0
15,20,155,9,0.1811695835111897,0.18,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,0,False,0,0.1898635477582846,0.1811695835111897,0.18,1
16,20,183,9,0.1811695835111897,0.18,False,True,False,False,False,False,True,True,False,True,False,True,False,False,True,0,False,0,0.1898635477582846,0.1811695835111897,0.18,1
17,50,180,15,0.2904309545875811,0.359375,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,0,False,0,0.1898635477582846,0.2904309545875811,0.359375,2
